EVOLUTION|INITIALPOP TIME|SELECTION TIME|CROSSOVER TIME|LOCALSEARCH TIME
206|1.090112|0.304736|4.248000|2.605088
207|1.090112|0.299680|5.052064|2.706176
208|1.090112|0.302720|4.198208|2.611136
209|1.090112|0.305760|4.144896|2.622528
210|1.090112|0.301984|4.132000|2.675968
211|1.090112|0.300320|4.078976|2.608128
212|1.090112|0.298336|4.220896|2.615872
213|1.090112|0.297216|4.118208|2.622816
214|1.090112|0.301696|4.152128|2.725856
215|1.090112|0.300096|4.196128|2.580736
216|1.090112|0.302048|4.207552|2.538688
217|1.090112|0.302432|4.169984|2.654976
218|1.090112|0.302368|4.041120|2.581760
219|1.090112|0.299840|4.187040|2.616064
220|1.090112|0.302528|4.344800|2.587008
221|1.090112|0.303712|4.171936|2.589472
222|1.090112|0.304512|4.197696|2.623936
223|1.090112|0.301760|4.179520|2.672224
224|1.090112|0.301120|4.180384|2.589056
225|1.090112|0.304032|4.177088|2.648128
226|1.090112|0.300736|4.191616|2.652352
227|1.090112|0.297504|4.184000|2.665664
228|1.090112|0.303072|4.164576|2.606976
229|1.090112|0.296704|4.120800|2.602176
230|1.090112|0.302496|4.124768|2.703936
231|1.090112|0.301792|4.063360|2.643584
232|1.090112|0.299776|4.194560|2.659584
233|1.090112|0.299840|4.119104|2.669152
234|1.090112|0.300000|4.216640|2.551840
235|1.090112|0.301216|4.253728|2.594304
236|1.090112|0.302336|4.201376|2.670208
237|1.090112|0.301536|4.178336|2.640384
238|1.090112|0.299232|4.124384|2.583552
239|1.090112|0.302624|4.142432|2.595040
240|1.090112|0.301120|4.161184|2.566752
241|1.090112|0.300224|4.221920|2.612768
242|1.090112|0.300032|4.195520|2.578400
243|1.090112|0.303488|4.128256|2.584352
244|1.090112|0.302976|4.221632|2.608064
245|1.090112|0.302432|4.208960|2.582752
246|1.090112|0.299808|4.187936|2.636608
247|1.090112|0.301152|4.171968|2.580224
248|1.090112|0.302752|4.110432|2.632416
249|1.090112|0.302336|4.206624|2.553824
250|1.090112|0.302304|4.127744|2.581760
251|1.090112|0.299200|5.157248|2.686592
252|1.090112|0.300192|4.228992|2.589216
253|1.090112|0.301184|4.170048|2.700000
254|1.090112|0.295136|4.735776|2.680512
255|1.090112|0.298464|4.119456|2.608800
256|1.090112|0.298624|4.079648|2.626496
257|1.090112|0.294464|4.212384|2.667040
258|1.090112|0.295136|4.166048|2.644288
259|1.090112|0.299296|4.257344|2.664576
260|1.090112|0.298368|4.111904|2.676448
261|1.090112|0.297472|4.134688|2.621056
262|1.090112|0.301024|4.126336|2.654528
263|1.090112|0.299008|4.076736|2.575648
264|1.090112|0.298112|4.081760|2.602496
265|1.090112|0.301600|4.273760|2.547680
266|1.090112|0.296096|4.159936|2.553632
267|1.090112|0.303072|4.232160|2.543424
268|1.090112|0.302656|4.079712|2.572576
269|1.090112|0.298336|4.178432|2.692992
270|1.090112|0.299104|3.980288|2.659808
271|1.090112|0.296384|4.040512|2.657760
272|1.090112|0.298592|3.954272|2.676864
273|1.090112|0.299200|4.038560|2.606944
274|1.090112|0.298528|4.246944|2.630688
275|1.090112|0.298528|4.089792|2.701632
276|1.090112|0.302720|4.016960|2.656544
277|1.090112|0.305024|4.098240|2.702976
278|1.090112|0.303712|4.038752|2.681856
279|1.090112|0.307168|4.085088|2.610560
280|1.090112|0.301792|4.053088|2.701280
281|1.090112|0.301216|4.173856|2.630400
282|1.090112|0.301952|4.141056|2.596160
283|1.090112|0.297824|4.086848|2.697152
284|1.090112|0.298656|4.126176|2.602848
285|1.090112|0.298400|4.041728|2.660704
286|1.090112|0.300896|4.134304|2.709120
287|1.090112|0.303104|4.081472|2.724032
288|1.090112|0.300832|4.063136|2.589248
289|1.090112|0.297504|4.139680|2.621280
290|1.090112|0.297024|4.236288|2.625248
291|1.090112|0.298624|4.029824|2.665568
292|1.090112|0.294816|4.144960|2.633440
293|1.090112|0.300480|4.787744|2.706944
294|1.090112|0.298528|4.898304|2.684256
295|1.090112|0.302560|4.934816|2.654880
296|1.090112|0.301216|4.841856|2.628160
297|1.090112|0.301440|4.980352|2.649888
298|1.090112|0.301600|4.972480|2.675648
299|1.090112|0.303232|4.768576|2.585664
300|1.090112|0.297376|4.910656|2.661248
301|1.090112|0.296576|4.085408|2.674752
302|1.090112|0.301312|4.080320|2.649824
303|1.090112|0.301024|4.074080|2.650880
304|1.090112|0.303712|4.919296|2.718048
305|1.090112|0.302848|4.754496|2.646976
306|1.090112|0.296608|4.676000|2.603712
307|1.090112|0.303136|4.661568|2.591040
308|1.090112|0.296288|4.884512|2.571424
309|1.090112|0.294784|4.935776|2.683008
310|1.090112|0.299520|5.066368|2.624608
311|1.090112|0.303136|4.826112|2.616256
312|1.090112|0.302496|4.063200|2.579168
313|1.090112|0.297440|4.695168|2.665024
314|1.090112|0.297472|4.069312|2.668800
315|1.090112|0.297504|4.725952|2.602080
316|1.090112|0.298976|4.951840|2.737536
317|1.090112|0.299904|4.896000|2.643776
318|1.090112|0.298784|3.996192|2.560928
319|1.090112|0.294624|4.122432|2.630912
320|1.090112|0.296128|5.306272|2.642272
321|1.090112|0.296096|5.080288|2.639040
322|1.090112|0.296384|4.754976|2.581664
323|1.090112|0.303744|4.894784|2.705344
324|1.090112|0.297728|5.190400|2.574144
325|1.090112|0.298848|4.978528|2.642784
326|1.090112|0.296320|4.073120|2.561440
327|1.090112|0.308064|4.746656|2.622880
328|1.090112|0.302304|4.847200|2.651872
329|1.090112|0.296032|5.158528|2.691552
330|1.090112|0.298624|4.788544|2.653984
331|1.090112|0.294464|4.035488|2.679168
332|1.090112|0.301664|4.792544|2.608128
333|1.090112|0.299616|4.971232|2.617984
334|1.090112|0.295872|4.140512|2.536512
335|1.090112|0.296480|4.059232|2.575296
336|1.090112|0.298368|5.020992|2.720320
337|1.090112|0.300000|4.854624|2.678144
338|1.090112|0.297472|4.742816|2.675328
339|1.090112|0.298240|4.933408|2.665312
340|1.090112|0.298592|4.734016|2.707808
341|1.090112|0.301184|5.024032|2.527968
342|1.090112|0.299424|4.874048|2.652256
343|1.090112|0.301600|4.820032|2.628704
344|1.090112|0.300192|4.854656|2.614144
345|1.090112|0.299808|4.829056|2.678432
346|1.090112|0.297344|4.979456|2.696768
347|1.090112|0.310560|4.891072|2.656928
348|1.090112|0.301984|4.164320|2.553728
349|1.090112|0.296128|4.102400|2.671936
350|1.090112|0.299040|4.827584|2.651136
351|1.090112|0.295680|4.182688|2.708544
352|1.090112|0.298080|4.603584|2.638016
353|1.090112|0.302688|4.694624|2.567232
354|1.090112|0.302592|4.856960|2.676608
355|1.090112|0.297248|4.886048|2.692928
356|1.090112|0.301632|4.830944|2.617760
357|1.090112|0.300352|5.136736|2.605024
358|1.090112|0.298912|4.870944|2.618240
359|1.090112|0.297088|4.147904|2.645760
360|1.090112|0.303040|4.790368|2.606688
361|1.090112|0.298432|4.952736|2.666400
362|1.090112|0.301056|5.186016|2.687456
363|1.090112|0.297504|4.990592|2.650048
364|1.090112|0.296992|4.919744|2.637024
365|1.090112|0.300448|4.625952|2.565792
366|1.090112|0.294624|5.002528|2.625216
367|1.090112|0.301248|4.850688|2.630752
368|1.090112|0.300416|4.934912|2.592064
369|1.090112|0.298880|4.152896|2.642816
370|1.090112|0.297184|4.912960|2.570304
371|1.090112|0.303872|4.079712|2.619904
372|1.090112|0.294592|5.056896|2.683584
373|1.090112|0.303776|4.990976|2.624576
374|1.090112|0.298816|4.675648|2.636544
375|1.090112|0.298272|4.991616|2.709568
376|1.090112|0.298688|4.741120|2.685504
377|1.090112|0.297184|4.840832|2.619072
378|1.090112|0.298496|4.820320|2.674464
379|1.090112|0.296480|4.039328|2.674528
380|1.090112|0.299840|5.181056|2.661728
381|1.090112|0.300768|4.825184|2.645632
382|1.090112|0.298720|4.774848|2.586432
383|1.090112|0.298816|4.283712|2.596448
384|1.090112|0.301536|4.160704|2.651840
385|1.090112|0.301888|4.170464|2.603488
386|1.090112|0.301440|4.968288|2.598144
387|1.090112|0.299072|5.084608|2.646560
388|1.090112|0.295904|4.977248|2.661600
389|1.090112|0.301472|4.754464|2.601632
390|1.090112|0.295392|4.953952|2.583392
391|1.090112|0.298784|4.918912|2.641440
392|1.090112|0.300736|4.721920|2.637888
393|1.090112|0.304544|4.080320|2.741824
394|1.090112|0.298720|4.208992|2.598720
395|1.090112|0.298784|4.330560|2.577664
396|1.090112|0.297696|4.886592|2.533152
397|1.090112|0.295200|4.941056|2.644576
398|1.090112|0.301376|4.126144|2.679776
399|1.090112|0.299040|5.062144|2.678048
400|1.090112|0.296288|4.834816|2.608832
401|1.090112|0.298816|4.860288|2.579136
402|1.090112|0.298656|5.336064|2.570144
403|1.090112|0.296064|4.932576|2.692064
404|1.090112|0.301344|4.092416|2.665824
405|1.090112|1.951552|37.283234|16.717793
406|1.090112|1.974528|37.290047|16.973120
407|1.090112|1.983712|32.163361|16.920000
408|1.090112|1.973952|38.024704|16.742016
409|1.090112|1.970592|27.840799|2.928416
410|1.090112|0.335104|5.772608|2.874784
411|1.090112|0.329216|4.731744|2.941824
412|1.090112|0.337568|4.691200|2.911136
413|1.090112|0.336096|5.461728|2.900768
414|1.090112|0.338016|5.664608|2.911392
415|1.090112|0.336576|5.341216|2.945216
416|1.090112|0.336384|5.199968|2.932608
417|1.090112|0.331680|5.417088|2.898592
418|1.090112|0.345312|6.004640|2.895584
419|1.090112|0.333856|5.458208|2.978528
420|1.090112|0.337056|4.861088|2.858720
