
INITIAL POPULATION FOR  W5-TTP
Individual 59: 1, 3[1], 4[0], 5[0], 2[1], 1 Profit: -13.684157 - Revenue: 340.000000 - Time: 141.473663 - Distance: 15.620499
Individual 60: 1, 4[0], 3[1], 5[0], 2[0], 1 Profit: 14.101120 - Revenue: 300.000000 - Time: 114.359552 - Distance: 15.620499
Individual 61: 1, 5[0], 3[0], 4[1], 2[0], 1 Profit: -113.849383 - Revenue: 50.000000 - Time: 65.539753 - Distance: 15.620499
Individual 62: 1, 3[1], 5[0], 4[0], 2[1], 1 Profit: -76.966856 - Revenue: 340.000000 - Time: 166.786743 - Distance: 15.620499
Individual 63: 1, 3[0], 4[1], 5[0], 2[1], 1 Profit: -73.402441 - Revenue: 90.000000 - Time: 65.360976 - Distance: 15.620499
Individual 64: 1, 3[1], 2[1], 5[0], 4[0], 1 Profit: -137.334588 - Revenue: 340.000000 - Time: 190.933835 - Distance: 34.058773
Individual 65: 1, 3[1], 4[1], 2[1], 5[0], 1 Profit: -15440.000000 - Revenue: -390.000000 - Time: 6020.000000 - Distance: 602.000000
Individual 66: 1, 2[0], 5[0], 4[1], 3[1], 1 Profit: -15350.000000 - Revenue: -350.000000 - Time: 6000.000000 - Distance: 600.000000
Individual 67: 1, 2[0], 5[0], 3[0], 4[0], 1 Profit: -126.083789 - Revenue: 0.000000 - Time: 50.433515 - Distance: 34.058773
Individual 68: 1, 5[1], 4[1], 2[0], 3[0], 1 Profit: -169.623640 - Revenue: 80.000000 - Time: 99.849456 - Distance: 29.732137
Individual 69: 1, 3[1], 5[1], 4[0], 2[1], 1 Profit: -157.232738 - Revenue: 370.000000 - Time: 210.893095 - Distance: 15.620499
Individual 70: 1, 3[0], 4[0], 2[1], 5[0], 1 Profit: -112.028014 - Revenue: 40.000000 - Time: 60.811206 - Distance: 17.204651
Individual 71: 1, 5[0], 3[1], 4[0], 2[1], 1 Profit: -12.733675 - Revenue: 340.000000 - Time: 141.093470 - Distance: 15.620499
Individual 72: 1, 4[0], 5[0], 3[0], 2[1], 1 Profit: -94.045937 - Revenue: 40.000000 - Time: 53.618375 - Distance: 15.620499
