PROBLEM NAME:  W5-TTP
SOLUTIONS PER GENERATION: 100
CITIES: 5
ITEMS: 4
ITEMS PER CITY: 1
EVOLUTIONS: 100
TOURNAMENT SIZE: 50
PARENTS PER GENERATIONS: 4
LOCAL SEARCH PROBABILITY: 0.200000


INITIAL POPULATION FOR  W5-TTP
RUNTIME: 0.858560 ms
Individual 43: 1, 3[0], 2[1], 5[1], 4[0], 1 Profit: -94.640898 - Revenue: 70.000000 - Time: 65.856359 - Distance: 34.058773
Individual 44: 1, 5[0], 4[1], 2[0], 3[1], 1 Profit: -15350.000000 - Revenue: -350.000000 - Time: 6000.000000 - Distance: 600.000000
Individual 45: 1, 3[1], 4[1], 5[0], 2[1], 1 Profit: -15440.000000 - Revenue: -390.000000 - Time: 6020.000000 - Distance: 602.000000
Individual 46: 1, 3[1], 5[1], 4[1], 2[1], 1 Profit: -16470.000000 - Revenue: -420.000000 - Time: 6420.000000 - Distance: 642.000000
Individual 47: 1, 2[1], 4[1], 5[0], 3[0], 1 Profit: -97.431928 - Revenue: 90.000000 - Time: 74.972771 - Distance: 29.732137
Individual 48: 1, 2[0], 4[0], 5[1], 3[0], 1 Profit: -117.496593 - Revenue: 30.000000 - Time: 58.998637 - Distance: 29.732137
Individual 49: 1, 3[1], 5[0], 2[0], 4[0], 1 Profit: -208.243776 - Revenue: 300.000000 - Time: 203.297510 - Distance: 34.058773
Individual 50: 1, 4[1], 2[1], 3[0], 5[1], 1 Profit: -111.457904 - Revenue: 120.000000 - Time: 92.583162 - Distance: 17.204651
Individual 51: 1, 2[0], 4[0], 3[0], 5[1], 1 Profit: -98.263855 - Revenue: 30.000000 - Time: 51.305542 - Distance: 17.204651
Individual 52: 1, 3[0], 5[0], 2[0], 4[1], 1 Profit: -143.014756 - Revenue: 50.000000 - Time: 77.205902 - Distance: 34.058773
Individual 53: 1, 4[1], 3[1], 2[0], 5[1], 1 Profit: -16380.000000 - Revenue: -380.000000 - Time: 6400.000000 - Distance: 640.000000
Individual 54: 1, 4[0], 2[1], 3[1], 5[1], 1 Profit: 80.062998 - Revenue: 370.000000 - Time: 115.974801 - Distance: 17.204651
Individual 55: 1, 4[1], 5[0], 2[1], 3[1], 1 Profit: -15440.000000 - Revenue: -390.000000 - Time: 6020.000000 - Distance: 602.000000
