PROBLEM NAME:  W5-TTP
SOLUTIONS PER GENERATION: 100
CITIES: 5
ITEMS: 4
ITEMS PER CITY: 1
EVOLUTIONS: 100
TOURNAMENT SIZE: 50
PARENTS PER GENERATIONS: 4
LOCAL SEARCH PROBABILITY: 0.200000


INITIAL POPULATION FOR  W5-TTP
RUNTIME: 0.864384 ms
Individual 39: 1, 2[0], 4[1], 3[1], 5[1], 1 Profit: -16380.000000 - Revenue: -380.000000 - Time: 6400.000000 - Distance: 640.000000
Individual 40: 1, 5[1], 2[1], 3[0], 4[0], 1 Profit: -82.375912 - Revenue: 70.000000 - Time: 60.950365 - Distance: 34.058773
Individual 41: 1, 4[0], 2[1], 5[1], 3[1], 1 Profit: 54.750322 - Revenue: 370.000000 - Time: 126.099871 - Distance: 29.732137
Individual 42: 1, 2[0], 4[1], 5[1], 3[1], 1 Profit: -16380.000000 - Revenue: -380.000000 - Time: 6400.000000 - Distance: 640.000000
Individual 43: 1, 3[1], 5[1], 2[1], 4[1], 1 Profit: -16470.000000 - Revenue: -420.000000 - Time: 6420.000000 - Distance: 642.000000
Individual 44: 1, 4[0], 5[0], 2[1], 3[0], 1 Profit: -119.489578 - Revenue: 40.000000 - Time: 63.795831 - Distance: 29.732137
Individual 45: 1, 2[1], 4[0], 3[0], 5[1], 1 Profit: -58.663249 - Revenue: 70.000000 - Time: 51.465300 - Distance: 17.204651
Individual 46: 1, 4[0], 2[0], 5[1], 3[1], 1 Profit: 18.061521 - Revenue: 330.000000 - Time: 124.775391 - Distance: 29.732137
Individual 47: 1, 5[0], 4[0], 3[0], 2[1], 1 Profit: -76.838294 - Revenue: 40.000000 - Time: 46.735318 - Distance: 15.620499
Individual 48: 1, 5[1], 4[0], 3[0], 2[0], 1 Profit: -94.158760 - Revenue: 30.000000 - Time: 49.663504 - Distance: 15.620499
Individual 49: 1, 3[0], 5[1], 2[0], 4[1], 1 Profit: -127.019904 - Revenue: 80.000000 - Time: 82.807962 - Distance: 34.058773
Individual 50: 1, 2[0], 5[0], 4[0], 3[1], 1 Profit: 78.896241 - Revenue: 300.000000 - Time: 88.441504 - Distance: 29.732137
Individual 51: 1, 3[1], 2[1], 5[1], 4[0], 1 Profit: -190.088150 - Revenue: 370.000000 - Time: 224.035260 - Distance: 34.058773
Individual 52: 1, 5[0], 4[0], 2[0], 3[1], 1 Profit: 44.681275 - Revenue: 300.000000 - Time: 102.127490 - Distance: 29.732137
Individual 53: 1, 5[1], 3[0], 2[0], 4[1], 1 Profit: -120.143878 - Revenue: 80.000000 - Time: 80.057551 - Distance: 34.058773
Individual 54: 1, 4[1], 2[1], 5[0], 3[0], 1 Profit: -150.925141 - Revenue: 90.000000 - Time: 96.370056 - Distance: 29.732137
Individual 55: 1, 4[0], 5[0], 3[1], 2[0], 1 Profit: 33.489978 - Revenue: 300.000000 - Time: 106.604009 - Distance: 15.620499
Individual 56: 1, 5[0], 4[0], 2[1], 3[0], 1 Profit: -120.001091 - Revenue: 40.000000 - Time: 64.000436 - Distance: 29.732137
Individual 57: 1, 3[1], 5[1], 2[0], 4[1], 1 Profit: -16380.000000 - Revenue: -380.000000 - Time: 6400.000000 - Distance: 640.000000
Individual 58: 1, 3[0], 2[0], 5[0], 4[1], 1 Profit: -133.187202 - Revenue: 50.000000 - Time: 73.274881 - Distance: 34.058773
Individual 59: 1, 3[0], 2[0], 5[0], 4[0], 1 Profit: -159.239628 - Revenue: 0.000000 - Time: 63.695851 - Distance: 34.058773
Individual 60: 1, 4[0], 2[0], 3[0], 5[0], 1 Profit: -160.298755 - Revenue: 0.000000 - Time: 64.119502 - Distance: 17.204651
Individual 61: 1, 4[0], 2[0], 3[1], 5[0], 1 Profit: 39.400583 - Revenue: 300.000000 - Time: 104.239767 - Distance: 17.204651
Individual 62: 1, 3[0], 4[0], 2[1], 5[0], 1 Profit: -112.028014 - Revenue: 40.000000 - Time: 60.811206 - Distance: 17.204651
Individual 63: 1, 4[0], 2[0], 5[1], 3[1], 1 Profit: 18.061521 - Revenue: 330.000000 - Time: 124.775391 - Distance: 29.732137
Individual 64: 1, 3[1], 4[0], 2[1], 5[0], 1 Profit: -108.956992 - Revenue: 340.000000 - Time: 179.582797 - Distance: 17.204651
Individual 65: 1, 4[1], 5[0], 3[1], 2[0], 1 Profit: -15350.000000 - Revenue: -350.000000 - Time: 6000.000000 - Distance: 600.000000
Individual 66: 1, 3[1], 2[1], 4[0], 5[1], 1 Profit: -136.592712 - Revenue: 370.000000 - Time: 202.637085 - Distance: 17.204651
Individual 67: 1, 3[0], 2[1], 4[0], 5[0], 1 Profit: -120.078372 - Revenue: 40.000000 - Time: 64.031349 - Distance: 17.204651
Individual 68: 1, 2[0], 4[0], 5[0], 3[1], 1 Profit: 61.177085 - Revenue: 300.000000 - Time: 95.529166 - Distance: 29.732137
Individual 69: 1, 3[1], 2[0], 4[0], 5[0], 1 Profit: -174.972202 - Revenue: 300.000000 - Time: 189.988881 - Distance: 17.204651
Individual 70: 1, 5[0], 2[1], 3[0], 4[1], 1 Profit: -77.096317 - Revenue: 90.000000 - Time: 66.838527 - Distance: 34.058773
Individual 71: 1, 4[1], 3[1], 5[1], 2[1], 1 Profit: -16470.000000 - Revenue: -420.000000 - Time: 6420.000000 - Distance: 642.000000
Individual 72: 1, 4[1], 5[1], 3[1], 2[1], 1 Profit: -16470.000000 - Revenue: -420.000000 - Time: 6420.000000 - Distance: 642.000000
Individual 73: 1, 2[1], 5[0], 3[0], 4[1], 1 Profit: -60.638838 - Revenue: 90.000000 - Time: 60.255535 - Distance: 34.058773
Individual 74: 1, 4[0], 2[0], 3[1], 5[0], 1 Profit: 39.400583 - Revenue: 300.000000 - Time: 104.239767 - Distance: 17.204651
Individual 75: 1, 2[1], 4[0], 3[1], 5[0], 1 Profit: 111.043710 - Revenue: 340.000000 - Time: 91.582516 - Distance: 17.204651
Individual 76: 1, 3[1], 5[1], 4[0], 2[1], 1 Profit: -157.232738 - Revenue: 370.000000 - Time: 210.893095 - Distance: 15.620499
