EVOLUTION|INITIALPOP TIME|SELECTION TIME|CROSSOVER TIME|LOCALSEARCH TIME
239|5.294912|0.144096|3.458048|1.858208
240|5.294912|0.144256|3.342432|1.844128
241|5.294912|0.145408|3.390176|1.857280
242|5.294912|0.143296|3.136288|1.845856
243|5.294912|0.143104|3.299104|1.854400
244|5.294912|0.146272|3.383296|1.847840
245|5.294912|0.144960|3.361440|1.849984
246|5.294912|0.144704|3.389024|1.863168
247|5.294912|0.146304|3.467104|1.868224
248|5.294912|0.143200|3.186944|1.858464
249|5.294912|0.143840|3.323104|1.860416
250|5.294912|0.144640|3.486336|1.861152
251|5.294912|0.143200|3.198976|1.855808
252|5.294912|0.143136|3.238400|1.851680
253|5.294912|0.142560|3.342976|1.866304
254|5.294912|0.147904|3.373952|1.855680
255|5.294912|0.142464|3.104544|1.858688
256|5.294912|0.144416|3.297344|1.855680
257|5.294912|0.145760|3.300448|1.862944
258|5.294912|0.144992|3.405728|1.863232
259|5.294912|0.142592|3.239072|1.852512
260|5.294912|0.145216|3.329888|1.861600
261|5.294912|0.143712|3.431296|1.856544
262|5.294912|0.144864|3.357824|1.869536
263|5.294912|0.144832|3.412864|1.865760
264|5.294912|0.144384|3.408960|1.848672
265|5.294912|0.143904|3.320864|1.852416
266|5.294912|0.143776|3.477664|1.857696
267|5.294912|0.145344|3.378880|1.863296
268|5.294912|0.144800|3.377600|1.848032
269|5.294912|0.144448|3.432448|1.851008
270|5.294912|0.140576|3.379648|1.867584
271|5.294912|0.144032|3.460416|1.860576
272|5.294912|0.146080|3.344704|1.850816
273|5.294912|0.145280|3.518496|1.872416
274|5.294912|0.143136|3.404640|1.863776
275|5.294912|0.144032|3.466144|1.861248
276|5.294912|0.144704|3.387968|1.862016
277|5.294912|0.155360|3.380800|1.852448
278|5.294912|0.143104|3.382208|1.862432
279|5.294912|0.139328|3.492064|1.851680
280|5.294912|0.144576|3.323424|1.862656
281|5.294912|0.144384|3.506176|1.859936
282|5.294912|0.146720|3.369536|1.853984
283|5.294912|0.143936|3.455264|1.857024
284|5.294912|0.145408|3.487232|1.848864
285|5.294912|0.145248|3.447584|1.862784
286|5.294912|0.141472|3.341856|1.852640
287|5.294912|0.144000|3.253376|1.850752
288|5.294912|0.144416|3.352192|1.848064
289|5.294912|0.144544|3.338976|1.849664
290|5.294912|0.143136|3.412704|1.856384
291|5.294912|0.145312|3.457536|1.857728
